DATE,Price
12/31/2016 0:00,967.88
12/31/2016 1:00,960
12/31/2016 2:00,.
12/31/2016 3:00,955.85
12/31/2016 4:00,957.3
12/31/2016 5:00,957.9
12/31/2016 6:00,970
12/31/2016 7:00,971.85
12/31/2016 8:00,971
12/31/2016 9:00,970
12/31/2016 10:00,967.95
12/31/2016 11:00,957.22
12/31/2016 12:00,960.42
12/31/2016 13:00,960.16
12/31/2016 14:00,963
12/31/2016 15:00,965
12/31/2016 16:00,966
12/31/2016 17:00,970.99
12/31/2016 18:00,969.92
12/31/2016 19:00,975
12/31/2016 20:00,974
12/31/2016 21:00,976.5
12/31/2016 22:00,976
12/31/2016 23:00,976
1/1/2017 0:00,976.01
1/1/2017 1:00,980
1/1/2017 2:00,979
1/1/2017 3:00,979
1/1/2017 4:00,976
1/1/2017 5:00,979.95
1/1/2017 6:00,979
1/1/2017 7:00,979.5
1/1/2017 8:00,980
1/1/2017 9:00,979.5
1/1/2017 10:00,981.1
1/1/2017 11:00,985
1/1/2017 12:00,982.25
1/1/2017 13:00,.
1/1/2017 14:00,984.9
1/1/2017 15:00,.
1/1/2017 16:00,1009.25
1/1/2017 17:00,.
1/1/2017 18:00,1013
1/1/2017 19:00,1000
1/1/2017 20:00,1017
1/1/2017 21:00,.
1/1/2017 22:00,.
1/1/2017 23:00,1007.93
1/2/2017 0:00,.
1/2/2017 1:00,1010.93
1/2/2017 2:00,1023.23
1/2/2017 3:00,1027.18
1/2/2017 4:00,.
1/2/2017 5:00,.
1/2/2017 6:00,.
1/2/2017 7:00,1023.31
1/2/2017 8:00,.
1/2/2017 9:00,.
1/2/2017 10:00,1033
1/2/2017 11:00,1035
1/2/2017 12:00,.
1/2/2017 13:00,.
1/2/2017 14:00,1029.93
1/2/2017 15:00,1060
1/2/2017 16:00,.
1/2/2017 17:00,1059
1/2/2017 18:00,1061
1/2/2017 19:00,.
1/2/2017 20:00,.
1/2/2017 21:00,1061
1/2/2017 22:00,1060
1/2/2017 23:00,1031.44
1/3/2017 0:00,.
1/3/2017 1:00,.
1/3/2017 2:00,.
1/3/2017 3:00,1046.79
1/3/2017 4:00,.
1/3/2017 5:00,1039.41
1/3/2017 6:00,1032.49
1/3/2017 7:00,1031
1/3/2017 8:00,1026.01
1/3/2017 9:00,.
1/3/2017 10:00,1083
1/3/2017 11:00,1045
1/3/2017 12:00,1033.03
1/3/2017 13:00,.
1/3/2017 14:00,1034
1/3/2017 15:00,1075
1/3/2017 16:00,.
1/3/2017 17:00,.
1/3/2017 18:00,1086
1/3/2017 19:00,.
1/3/2017 20:00,.
1/3/2017 21:00,1042.01
1/3/2017 22:00,.
1/3/2017 23:00,1100
1/4/2017 0:00,1109.5
1/4/2017 1:00,1119.99
1/4/2017 2:00,1109.99
1/4/2017 3:00,1099.99
1/4/2017 4:00,.
1/4/2017 5:00,.
1/4/2017 6:00,.
1/4/2017 7:00,1094.43
1/4/2017 8:00,1080.62
1/4/2017 9:00,.
1/4/2017 10:00,1130
1/4/2017 11:00,.
1/4/2017 12:00,1098.13
1/4/2017 13:00,.
1/4/2017 14:00,1100.15
1/4/2017 15:00,1100.43
1/4/2017 16:00,.
1/4/2017 17:00,1149.19
1/4/2017 18:00,1189.99
1/4/2017 19:00,1154.03
1/4/2017 20:00,.
1/4/2017 21:00,1154.02
1/4/2017 22:00,1242
1/4/2017 23:00,.
1/5/2017 0:00,.
1/5/2017 1:00,.
1/5/2017 2:00,.
1/5/2017 3:00,1190
1/5/2017 4:00,1290
1/5/2017 5:00,1190.03
1/5/2017 6:00,1240.99
1/5/2017 7:00,1240
1/5/2017 8:00,1238.88
1/5/2017 9:00,1224
1/5/2017 10:00,1190
1/5/2017 11:00,1121.01
1/5/2017 12:00,1120
1/5/2017 13:00,1040.01
1/5/2017 14:00,1040
1/5/2017 15:00,1130
1/5/2017 16:00,1000
1/5/2017 17:00,.
1/5/2017 18:00,1128
1/5/2017 19:00,.
1/5/2017 20:00,.
1/5/2017 21:00,.
1/5/2017 22:00,.
1/5/2017 23:00,.
1/6/2017 0:00,985.66
1/6/2017 1:00,1127.98
1/6/2017 2:00,.
1/6/2017 3:00,1115
1/6/2017 4:00,.
1/6/2017 5:00,.
1/6/2017 6:00,965.4
1/6/2017 7:00,.
1/6/2017 8:00,.
1/6/2017 9:00,920
1/6/2017 10:00,950
1/6/2017 11:00,913
1/6/2017 12:00,.
1/6/2017 13:00,.
1/6/2017 14:00,.
1/6/2017 15:00,.
1/6/2017 16:00,.
1/6/2017 17:00,1000
1/6/2017 18:00,889
1/6/2017 19:00,.
1/6/2017 20:00,.
1/6/2017 21:00,995
1/6/2017 22:00,.
1/6/2017 23:00,.
1/7/2017 0:00,.
1/7/2017 1:00,.
1/7/2017 2:00,.
1/7/2017 3:00,.
1/7/2017 4:00,.
1/7/2017 5:00,874.88
1/7/2017 6:00,874.88
1/7/2017 7:00,854
1/7/2017 8:00,850.39
1/7/2017 9:00,939.99
1/7/2017 10:00,940
1/7/2017 11:00,860.29
1/7/2017 12:00,945
1/7/2017 13:00,.
1/7/2017 14:00,.
1/7/2017 15:00,944.99
1/7/2017 16:00,944.99
1/7/2017 17:00,.
1/7/2017 18:00,.
1/7/2017 19:00,875.86
1/7/2017 20:00,938.8
1/7/2017 21:00,900
1/7/2017 22:00,900
1/7/2017 23:00,.
1/8/2017 0:00,.
1/8/2017 1:00,.
1/8/2017 2:00,.
1/8/2017 3:00,910
1/8/2017 4:00,.
1/8/2017 5:00,914.6
1/8/2017 6:00,.
