DATE,eurostoxx50
1/3/2017,3315.02
1/4/2017,3317.52
1/5/2017,3316.47
1/6/2017,3321.17
1/9/2017,3308.97
1/10/2017,3306.21
1/11/2017,3307.94
1/12/2017,3286.70
1/13/2017,3324.34
1/16/2017,3294.53
1/17/2017,3285.04
1/18/2017,3294.00
1/19/2017,3290.33
1/20/2017,3299.44
1/23/2017,3273.04
1/24/2017,3281.53
1/25/2017,3326.15
1/26/2017,3319.13
1/27/2017,3303.33
1/30/2017,3262.72
1/31/2017,3230.68
2/1/2017,3258.92
2/2/2017,3253.61
2/3/2017,3273.11
2/6/2017,3238.31
2/7/2017,3235.71
2/8/2017,3238.04
2/9/2017,3277.79
2/10/2017,3270.83
2/13/2017,3305.23
2/14/2017,3308.89
2/15/2017,3323.71
2/16/2017,3311.04
2/17/2017,3308.81
2/20/2017,3312.39
2/21/2017,3339.33
2/22/2017,3339.27
2/23/2017,3333.96
2/24/2017,3304.09
2/27/2017,3309.30
2/28/2017,3319.61
3/1/2017,3390.20
3/2/2017,3384.71
3/3/2017,3403.39
3/6/2017,3387.46
3/7/2017,3385.12
3/8/2017,3389.62
3/9/2017,3409.89
3/10/2017,3416.27
3/13/2017,3415.49
3/14/2017,3399.44
3/15/2017,3409.32
3/16/2017,3439.96
3/17/2017,3448.41
3/20/2017,3437.48
3/21/2017,3429.62
3/22/2017,3420.70
3/23/2017,3452.18
3/24/2017,3444.15
3/27/2017,3437.14
3/28/2017,3465.07
3/29/2017,3475.27
3/30/2017,3481.58
3/31/2017,3500.93
4/3/2017,3472.94
4/4/2017,3481.66
4/5/2017,3472.58
4/6/2017,3489.57
4/7/2017,3495.80
4/10/2017,3480.44
4/11/2017,3470.04
4/12/2017,3468.51
4/13/2017,3448.26
4/18/2017,3409.78
4/19/2017,3420.99
4/20/2017,3440.03
4/21/2017,3440.27
4/24/2017,3577.38
4/25/2017,3583.16
4/26/2017,3578.71
4/27/2017,3563.29
4/28/2017,3559.59
5/2/2017,3578.21
5/3/2017,3586.25
5/4/2017,3627.88
5/5/2017,3658.79
5/8/2017,3642.11
5/9/2017,3649.08
5/10/2017,3645.74
5/11/2017,3623.55
5/12/2017,3637.52
5/15/2017,3641.88
5/16/2017,3641.89
5/17/2017,3584.83
5/18/2017,3562.22
5/19/2017,3587.01
5/22/2017,3576.53
5/23/2017,3595.03
5/24/2017,3586.62
5/26/2017,3579.02
5/29/2017,3578.95
5/30/2017,3561.22
5/31/2017,3554.59
6/1/2017,3567.02
6/2/2017,3591.82
6/6/2017,3554.18
6/7/2017,3548.84
6/8/2017,3563.88
6/9/2017,3586.07
6/12/2017,3543.95
6/13/2017,3557.87
6/14/2017,3547.15
6/15/2017,3525.46
6/16/2017,3543.88
6/19/2017,3579.58
6/20/2017,3560.66
6/21/2017,3554.35
6/22/2017,3555.76
6/23/2017,3543.68
6/26/2017,3561.76
6/27/2017,3538.32
6/28/2017,3535.70
6/29/2017,3471.33
6/30/2017,3441.88
7/3/2017,3491.81
7/4/2017,3479.47
7/5/2017,3478.41
7/6/2017,3462.06
7/7/2017,3463.84
7/10/2017,3478.06
7/11/2017,3464.48
7/12/2017,3515.23
7/13/2017,3527.83
7/14/2017,3525.94
7/17/2017,3516.35
7/18/2017,3478.68
7/19/2017,3500.28
7/20/2017,3499.49
7/21/2017,3451.71
7/24/2017,3453.17
7/25/2017,3473.54
7/26/2017,3491.19
7/27/2017,3493.14
7/28/2017,3467.73
7/31/2017,3449.36
8/2/2017,3459.32
8/3/2017,3466.37
8/4/2017,3507.41
8/7/2017,3505.80
8/8/2017,3515.63
8/9/2017,3468.45
8/10/2017,3433.54
8/11/2017,3406.34
8/14/2017,3450.66
8/15/2017,3461.91
8/16/2017,3484.57
8/17/2017,3461.97
8/18/2017,3446.03
8/21/2017,3423.53
8/22/2017,3455.59
8/23/2017,3438.63
8/24/2017,3444.73
8/25/2017,3438.55
8/28/2017,3421.03
8/29/2017,3388.22
8/30/2017,3403.71
8/31/2017,3421.47
9/1/2017,3443.88
9/4/2017,3430.42
9/5/2017,3420.86
9/6/2017,3433.80
9/7/2017,3447.66
9/8/2017,3447.69
9/11/2017,3495.19
9/12/2017,3512.56
9/13/2017,3523.14
9/14/2017,3526.48
9/15/2017,3515.55
9/18/2017,3526.74
9/19/2017,3531.18
9/20/2017,3525.55
9/21/2017,3539.59
9/22/2017,3541.42
9/25/2017,3537.81
9/26/2017,3536.38
9/27/2017,3555.17
9/28/2017,3563.64
9/29/2017,3594.85
10/2/2017,3602.69
10/3/2017,3605.73
10/4/2017,3594.91
10/5/2017,3613.54
10/6/2017,3603.32
10/9/2017,3610.50
10/10/2017,3598.79
10/11/2017,3607.39
10/12/2017,3605.54
10/13/2017,3604.55
10/16/2017,3606.27
10/17/2017,3607.77
10/18/2017,3619.65
10/19/2017,3602.08
10/20/2017,3605.09
10/23/2017,3608.87
10/24/2017,3610.69
10/25/2017,3591.46
10/26/2017,3637.20
10/27/2017,3652.23
10/30/2017,3662.18
10/31/2017,3673.95
11/1/2017,3697.40
11/2/2017,3688.80
11/3/2017,3689.96
11/6/2017,3682.36
11/7/2017,3658.77
11/8/2017,3655.04
11/9/2017,3612.50
11/10/2017,3593.76
11/13/2017,3574.52
11/14/2017,3556.38
11/15/2017,3545.72
11/16/2017,3564.80
11/17/2017,3547.46
11/20/2017,3561.41
11/21/2017,3579.32
11/22/2017,3562.65
11/23/2017,3572.07
11/24/2017,3581.23
11/27/2017,3564.02
