DATE,RATE
1/1/2017,1.02
1/2/2017,1.02
1/3/2017,1.03
1/4/2017,1.02
1/5/2017,1.01
1/6/2017,1.02
1/7/2017,1.02
1/8/2017,1.02
1/9/2017,1.02
1/10/2017,1.02
1/11/2017,1.02
1/12/2017,1.01
1/13/2017,1.01
1/14/2017,1.01
1/15/2017,1.01
1/16/2017,1.01
1/17/2017,1
1/18/2017,1
1/19/2017,1.01
1/20/2017,1
1/21/2017,1
1/22/2017,1
1/23/2017,1
1/24/2017,1
1/25/2017,1
1/26/2017,1
1/27/2017,1
1/28/2017,1
1/29/2017,1
1/30/2017,1
1/31/2017,0.99
2/1/2017,0.99
2/2/2017,0.99
2/3/2017,0.99
2/4/2017,0.99
2/5/2017,0.99
2/6/2017,0.99
2/7/2017,1
2/8/2017,0.99
2/9/2017,1
2/10/2017,1
2/11/2017,1
2/12/2017,1
2/13/2017,1.01
2/14/2017,1.01
2/15/2017,1.01
2/16/2017,1
2/17/2017,1
2/18/2017,1
2/19/2017,1
2/20/2017,1
2/21/2017,1.01
2/22/2017,1.01
2/23/2017,1.01
2/24/2017,1.01
2/25/2017,1.01
2/26/2017,1.01
2/27/2017,1
2/28/2017,1
3/1/2017,1.01
3/2/2017,1.01
3/3/2017,1.01
3/4/2017,1.01
3/5/2017,1.01
3/6/2017,1.01
3/7/2017,1.01
3/8/2017,1.01
3/9/2017,1.01
3/10/2017,1.01
3/11/2017,1.01
3/12/2017,1.01
3/13/2017,1.01
3/14/2017,1.01
3/15/2017,1.01
3/16/2017,1
3/17/2017,1
3/18/2017,1
3/19/2017,1
3/20/2017,1
3/21/2017,0.99
3/22/2017,0.99
3/23/2017,0.99
3/24/2017,0.99
3/25/2017,0.99
3/26/2017,0.99
3/27/2017,0.98
3/28/2017,0.99
3/29/2017,1
3/30/2017,1
3/31/2017,1
4/2/2017,1
4/3/2017,1
4/4/2017,1
4/5/2017,1.01
4/6/2017,1
4/7/2017,1.01
4/8/2017,1.01
4/9/2017,1.01
4/10/2017,1.01
4/11/2017,1.01
4/12/2017,1.01
4/13/2017,1
4/14/2017,1
4/15/2017,1.01
4/16/2017,1
4/17/2017,1
4/18/2017,1
4/19/2017,1
4/20/2017,1
4/21/2017,1
4/22/2017,1
4/23/2017,1
4/24/2017,1
4/25/2017,0.99
4/26/2017,1
4/27/2017,0.99
4/28/2017,0.99
4/29/2017,0.99
4/30/2017,0.99
5/1/2017,1
5/2/2017,0.99
5/4/2017,0.99
5/5/2017,0.99
5/6/2017,0.99
5/7/2017,0.99
5/8/2017,1
5/9/2017,1.01
5/10/2017,1.01
5/11/2017,1.01
5/12/2017,1
5/13/2017,1
5/14/2017,1
5/15/2017,1
5/16/2017,0.99
5/17/2017,0.98
5/18/2017,0.98
5/20/2017,0.97
5/21/2017,0.97
5/22/2017,0.97
5/23/2017,0.97
5/24/2017,0.98
5/25/2017,0.97
5/26/2017,0.97
5/27/2017,0.97
5/28/2017,0.97
5/29/2017,0.98
5/30/2017,0.98
5/31/2017,0.97
6/1/2017,0.97
6/2/2017,0.96
6/3/2017,0.96
6/4/2017,0.96
6/5/2017,0.97
6/6/2017,0.96
6/7/2017,0.96
6/8/2017,0.97
6/9/2017,0.97
6/10/2017,0.97
6/11/2017,0.97
6/12/2017,0.97
6/13/2017,0.97
6/14/2017,0.97
6/15/2017,0.98
6/16/2017,0.97
6/17/2017,0.97
6/18/2017,0.97
6/19/2017,0.97
6/20/2017,0.98
6/21/2017,0.97
6/22/2017,0.97
6/23/2017,0.97
6/24/2017,0.97
6/25/2017,0.97
6/26/2017,0.97
6/27/2017,0.96
6/28/2017,0.96
6/29/2017,0.96
6/30/2017,0.96
7/1/2017,0.96
7/2/2017,0.96
7/3/2017,0.96
7/4/2017,0.97
7/5/2017,0.96
7/6/2017,0.96
7/7/2017,0.96
7/8/2017,0.96
7/9/2017,0.96
7/10/2017,0.97
7/11/2017,0.97
7/12/2017,0.96
7/13/2017,0.97
7/14/2017,0.97
7/15/2017,0.96
7/16/2017,0.96
7/17/2017,0.96
7/18/2017,0.95
7/19/2017,0.95
7/20/2017,0.95
7/21/2017,0.95
7/22/2017,0.95
7/23/2017,0.95
7/24/2017,0.95
7/25/2017,0.95
7/26/2017,0.96
7/27/2017,0.96
7/28/2017,0.97
7/29/2017,0.97
7/30/2017,0.97
7/31/2017,0.97
8/1/2017,0.97
8/2/2017,0.97
8/3/2017,0.97
8/4/2017,0.97
8/5/2017,0.97
8/6/2017,0.97
8/7/2017,0.97
8/8/2017,0.98
8/9/2017,0.96
8/10/2017,0.96
8/11/2017,0.96
8/12/2017,0.96
8/13/2017,0.96
8/14/2017,0.97
8/15/2017,0.97
8/16/2017,0.97
8/17/2017,0.96
8/18/2017,0.97
8/19/2017,0.97
8/20/2017,0.96
8/21/2017,0.96
8/23/2017,0.97
8/24/2017,0.96
8/25/2017,0.96
8/26/2017,0.96
8/27/2017,0.96
8/28/2017,0.95
8/29/2017,0.95
8/30/2017,0.96
8/31/2017,0.96
9/1/2017,0.96
9/2/2017,0.96
9/3/2017,0.96
9/4/2017,0.96
9/5/2017,0.96
9/6/2017,0.96
9/7/2017,0.95
9/8/2017,0.95
9/9/2017,0.94
9/10/2017,0.94
9/11/2017,0.95
9/12/2017,0.96
9/13/2017,0.97
9/14/2017,0.97
9/15/2017,0.96
9/16/2017,0.96
9/17/2017,0.96
9/18/2017,0.96
9/19/2017,0.96
9/20/2017,0.96
9/21/2017,0.97
9/22/2017,0.97
9/23/2017,0.97
9/24/2017,0.97
9/25/2017,0.97
9/26/2017,0.97
9/27/2017,0.97
9/28/2017,0.97
9/29/2017,0.97
9/30/2017,0.97
10/1/2017,0.97
10/2/2017,0.97
10/3/2017,0.97
10/4/2017,0.98
10/5/2017,0.98
10/6/2017,0.98
10/7/2017,0.98
10/8/2017,0.98
10/9/2017,0.98
10/10/2017,0.98
10/11/2017,0.97
10/12/2017,0.97
10/14/2017,0.97
10/15/2017,0.97
10/16/2017,0.97
10/17/2017,0.98
10/18/2017,0.98
10/19/2017,0.98
10/20/2017,0.98
10/21/2017,0.98
10/22/2017,0.98
10/23/2017,0.99
10/24/2017,0.99
10/25/2017,0.99
10/26/2017,1
10/27/2017,1
10/28/2017,1
10/29/2017,1
10/30/2017,0.99
10/31/2017,1
11/1/2017,1
11/2/2017,1
11/3/2017,1
11/4/2017,1
11/5/2017,1
11/6/2017,1
11/7/2017,1
11/8/2017,1
11/9/2017,1
11/10/2017,1
11/11/2017,0.99
11/12/2017,0.99
11/13/2017,1
11/14/2017,0.99
11/15/2017,0.99
11/16/2017,0.99
11/17/2017,0.99
11/18/2017,0.99
11/19/2017,0.99
11/20/2017,0.99
11/21/2017,0.99
11/22/2017,0.98
11/23/2017,0.98
11/24/2017,0.98
11/25/2017,0.98
11/26/2017,0.98
11/27/2017,0.98
11/28/2017,0.98
11/29/2017,0.98
11/30/2017,0.98
12/1/2017,0.98
12/2/2017,0.98
12/3/2017,0.98
12/4/2017,0.99
12/5/2017,0.99
12/6/2017,0.99
12/7/2017,0.99
12/8/2017,0.99
12/9/2017,0.99
12/11/2017,0.99
12/12/2017,0.99
12/13/2017,0.99
12/14/2017,0.99
12/15/2017,0.99
12/16/2017,0.99
12/17/2017,0.99
12/18/2017,0.99
12/19/2017,0.99
12/20/2017,0.99
12/21/2017,0.99
12/22/2017,0.99
12/23/2017,0.99
12/24/2017,0.99
12/25/2017,0.99
12/26/2017,0.99
12/27/2017,0.99
12/28/2017,0.98
12/29/2017,0.97
12/30/2017,0.97
12/31/2017,0.97
1/1/2018,0.97
1/2/2018,0.97
1/3/2018,0.98
1/4/2018,0.98
1/5/2018,0.98
1/6/2018,0.97
1/7/2018,0.98
1/8/2018,0.98
1/9/2018,0.98
1/10/2018,0.98
1/11/2018,0.98
1/12/2018,0.97
1/13/2018,0.97
1/14/2018,0.97
1/15/2018,0.96
1/16/2018,0.96
1/17/2018,0.96
1/18/2018,0.96
1/19/2018,0.96
1/20/2018,0.96
1/21/2018,0.96
1/22/2018,0.96
1/23/2018,0.96
1/24/2018,0.95
1/25/2018,0.94
1/26/2018,0.93
1/27/2018,0.93
1/28/2018,0.93
1/29/2018,0.94
1/30/2018,0.94
1/31/2018,0.93
2/1/2018,0.93
2/2/2018,0.93
2/3/2018,0.93
2/4/2018,0.93
2/5/2018,0.94
2/6/2018,0.94
2/7/2018,0.94
2/8/2018,0.94
2/9/2018,0.94
2/10/2018,0.94
2/11/2018,0.94
2/12/2018,0.94
2/13/2018,0.93
2/14/2018,0.93
2/15/2018,0.92
2/16/2018,0.93
2/17/2018,0.93
2/18/2018,0.93
2/19/2018,0.93
2/20/2018,0.94
2/21/2018,0.94
2/22/2018,0.93
2/23/2018,0.94
2/24/2018,0.94
2/25/2018,0.94
2/26/2018,0.94
2/27/2018,0.94
2/28/2018,0.94
3/1/2018,0.95
3/2/2018,0.94
3/3/2018,0.94
3/4/2018,0.94
3/5/2018,0.94
3/6/2018,0.94
3/7/2018,0.94
3/8/2018,0.95
3/9/2018,0.95
3/10/2018,0.95
3/11/2018,0.95
3/12/2018,0.95
3/13/2018,0.94
3/14/2018,0.95
3/15/2018,0.95
3/16/2018,0.95
3/17/2018,0.95
3/18/2018,0.95
3/19/2018,0.95
3/20/2018,0.95
3/21/2018,0.95
3/22/2018,0.95
3/23/2018,0.95
3/24/2018,0.95
3/25/2018,0.95
3/26/2018,0.94
3/27/2018,0.95
3/28/2018,0.95
3/29/2018,0.96
3/30/2018,0.95
4/1/2018,0.95
