DATE,RATE
1/1/2017,6.94
1/2/2017,6.95
1/3/2017,6.96
1/4/2017,6.94
1/5/2017,6.89
1/6/2017,6.92
1/7/2017,6.92
1/8/2017,6.92
1/9/2017,6.94
1/10/2017,6.92
1/11/2017,6.94
1/12/2017,6.89
1/13/2017,6.9
1/14/2017,6.9
1/15/2017,6.9
1/16/2017,6.9
1/17/2017,6.85
1/18/2017,6.84
1/19/2017,6.87
1/20/2017,6.88
1/21/2017,6.88
1/22/2017,6.88
1/23/2017,6.85
1/24/2017,6.86
1/25/2017,6.88
1/26/2017,6.88
1/27/2017,6.88
1/28/2017,6.88
1/29/2017,6.88
1/30/2017,6.88
1/31/2017,6.88
2/1/2017,6.88
2/2/2017,6.88
2/3/2017,6.87
2/4/2017,6.87
2/5/2017,6.87
2/6/2017,6.86
2/7/2017,6.88
2/8/2017,6.87
2/9/2017,6.87
2/10/2017,6.88
2/11/2017,6.88
2/12/2017,6.88
2/13/2017,6.88
2/14/2017,6.87
2/15/2017,6.87
2/16/2017,6.85
2/17/2017,6.87
2/18/2017,6.87
2/19/2017,6.86
2/20/2017,6.88
2/21/2017,6.88
2/22/2017,6.88
2/23/2017,6.87
2/24/2017,6.87
2/25/2017,6.87
2/26/2017,6.86
2/27/2017,6.87
2/28/2017,6.87
3/1/2017,6.88
3/2/2017,6.89
3/3/2017,6.9
3/4/2017,6.9
3/5/2017,6.9
3/6/2017,6.9
3/7/2017,6.9
3/8/2017,6.91
3/9/2017,6.91
3/10/2017,6.91
3/11/2017,6.87
3/12/2017,6.87
3/13/2017,6.91
3/14/2017,6.91
3/15/2017,6.91
3/16/2017,6.9
3/17/2017,6.9
3/18/2017,6.9
3/19/2017,6.9
3/20/2017,6.91
3/21/2017,6.89
3/22/2017,6.88
3/23/2017,6.89
3/24/2017,6.88
3/25/2017,6.88
3/26/2017,6.88
3/27/2017,6.88
3/28/2017,6.89
3/29/2017,6.89
3/30/2017,6.89
3/31/2017,6.89
4/2/2017,6.88
4/3/2017,6.89
4/4/2017,6.89
4/5/2017,6.9
4/6/2017,6.9
4/7/2017,6.9
4/8/2017,6.9
4/9/2017,6.9
4/10/2017,6.9
4/11/2017,6.9
4/12/2017,6.89
4/13/2017,6.88
4/14/2017,6.88
4/15/2017,6.89
4/16/2017,6.89
4/17/2017,6.89
4/18/2017,6.89
4/19/2017,6.89
4/20/2017,6.88
4/21/2017,6.88
4/22/2017,6.88
4/23/2017,6.88
4/24/2017,6.89
4/25/2017,6.89
4/26/2017,6.89
4/27/2017,6.9
4/28/2017,6.9
4/29/2017,6.92
4/30/2017,6.92
5/1/2017,6.9
5/2/2017,6.9
5/4/2017,6.9
5/5/2017,6.9
5/6/2017,6.86
5/7/2017,6.86
5/8/2017,6.9
5/9/2017,6.91
5/10/2017,6.9
5/11/2017,6.9
5/12/2017,6.9
5/13/2017,6.9
5/14/2017,6.9
