DATE,RATE
1/1/2017,116.9
1/2/2017,117.38
1/3/2017,117.67
1/4/2017,117.43
1/5/2017,115.45
1/6/2017,116.92
1/7/2017,116.92
1/8/2017,116.92
1/9/2017,116.08
1/10/2017,115.7
1/11/2017,116.13
1/12/2017,113.94
1/13/2017,115.03
1/14/2017,114.52
1/15/2017,114.58
1/16/2017,114.1
1/17/2017,112.94
1/18/2017,113.47
1/19/2017,115.26
1/20/2017,115.03
1/21/2017,114.53
1/22/2017,114.53
1/23/2017,112.83
1/24/2017,113.53
1/25/2017,113.53
1/26/2017,114.76
1/27/2017,115.1
1/28/2017,115.08
1/29/2017,115.08
1/30/2017,113.79
1/31/2017,112.77
2/1/2017,113.3
2/2/2017,112.56
2/3/2017,112.42
2/4/2017,112.7
2/5/2017,112.57
2/6/2017,112.28
2/7/2017,112.21
2/8/2017,111.75
2/9/2017,113.25
2/10/2017,113.23
2/11/2017,113.2
2/12/2017,113.22
2/13/2017,113.89
2/14/2017,114.35
2/15/2017,114.11
2/16/2017,113.33
2/17/2017,112.87
2/18/2017,112.88
2/19/2017,112.85
2/20/2017,113.09
2/21/2017,113.44
2/22/2017,113.41
2/23/2017,112.71
2/24/2017,112.28
2/25/2017,112.19
2/26/2017,112.19
2/27/2017,111.97
2/28/2017,111.97
3/1/2017,113.65
3/2/2017,114.44
3/3/2017,114.57
3/4/2017,114.02
3/5/2017,114.02
3/6/2017,113.93
3/7/2017,114.02
3/8/2017,114.59
3/9/2017,114.7
3/10/2017,115
3/11/2017,114.76
3/12/2017,114.76
3/13/2017,114.7
3/14/2017,114.58
3/15/2017,114.6
3/16/2017,113.13
3/17/2017,112.69
3/18/2017,112.72
3/19/2017,112.72
3/20/2017,112.68
3/21/2017,111.9
3/22/2017,110.97
3/23/2017,111.11
3/24/2017,110.92
3/25/2017,111.34
3/26/2017,111.34
3/27/2017,110.57
3/28/2017,110.61
3/29/2017,111.03
3/30/2017,111.3
3/31/2017,111.3
4/2/2017,111.38
4/3/2017,111
4/4/2017,110.73
4/5/2017,111.29
4/6/2017,110.85
4/7/2017,110.95
4/8/2017,111.08
4/9/2017,111.08
4/10/2017,110.95
4/11/2017,109.8
4/12/2017,109.58
4/13/2017,109.07
4/14/2017,108.64
4/15/2017,108.63
4/16/2017,108.64
4/17/2017,108.54
4/18/2017,108.52
4/19/2017,108.87
4/20/2017,109.34
4/21/2017,108.98
4/22/2017,109.08
4/23/2017,109.08
4/24/2017,109.81
4/25/2017,111.03
4/26/2017,111.7
4/27/2017,111.25
4/28/2017,111.41
4/29/2017,111.54
4/30/2017,111.52
5/1/2017,111.75
5/2/2017,112.13
5/4/2017,112.57
5/5/2017,112.68
5/6/2017,112.72
5/7/2017,112.72
5/8/2017,112.98
5/9/2017,114.23
5/10/2017,114.09
5/11/2017,113.86
5/12/2017,113.38
5/13/2017,113.35
5/14/2017,113.38
5/15/2017,113.57
5/16/2017,113.22
5/17/2017,111.39
5/18/2017,110.94
5/20/2017,111.26
5/21/2017,111.26
5/22/2017,111.16
5/23/2017,111.67
5/24/2017,112.05
5/25/2017,111.74
5/26/2017,111.33
5/27/2017,111.32
5/28/2017,111.32
5/29/2017,111.31
5/30/2017,110.75
5/31/2017,110.66
6/1/2017,111.39
6/2/2017,110.49
6/3/2017,110.4
6/4/2017,110.4
6/5/2017,110.44
6/6/2017,109.41
6/7/2017,109.44
6/8/2017,110.08
6/9/2017,110.48
6/10/2017,110.33
6/11/2017,110.32
6/12/2017,109.68
6/13/2017,110.07
6/14/2017,109.08
6/15/2017,110.9
6/16/2017,110.85
6/17/2017,110.88
6/18/2017,110.88
6/19/2017,111.46
6/20/2017,111.45
6/21/2017,111.4
6/22/2017,111.33
6/23/2017,111.31
6/24/2017,111.3
6/25/2017,111.3
6/26/2017,111.65
6/27/2017,112.32
6/28/2017,112.2
6/29/2017,112.1
6/30/2017,112.34
7/1/2017,112.4
7/2/2017,112.4
7/3/2017,113.36
7/4/2017,113.21
7/5/2017,113.24
7/6/2017,113.33
7/7/2017,114.04
7/8/2017,113.92
7/9/2017,113.9
7/10/2017,114.15
7/11/2017,113.95
7/12/2017,113.22
7/13/2017,113.35
7/14/2017,112.62
7/15/2017,112.54
7/16/2017,112.54
7/17/2017,112.72
7/18/2017,112.03
7/19/2017,111.71
7/20/2017,111.73
7/21/2017,111.06
7/22/2017,111.12
7/23/2017,111.12
7/24/2017,111.18
7/25/2017,111.62
7/26/2017,112.15
7/27/2017,111.36
7/28/2017,110.81
7/29/2017,110.66
7/30/2017,110.66
