DATE,Gold
1/2/2017,1145.90
1/3/2017,1151.00
1/4/2017,1164.25
1/5/2017,1176.70
1/6/2017,1175.85
1/9/2017,1178.50
1/10/2017,1189.50
1/11/2017,1178.55
1/12/2017,1205.05
1/13/2017,1190.35
1/16/2017,1203.00
1/17/2017,1216.05
1/18/2017,1214.75
1/19/2017,1196.05
1/20/2017,1200.55
1/23/2017,1212.85
1/24/2017,1216.80
1/25/2017,1195.00
1/26/2017,1189.70
1/27/2017,1184.85
1/30/2017,1192.80
1/31/2017,1212.80
2/1/2017,1203.65
2/2/2017,1221.95
2/3/2017,1215.20
2/6/2017,1226.75
2/7/2017,1231.00
2/8/2017,1242.10
2/9/2017,1236.80
2/10/2017,1228.30
2/13/2017,1222.25
2/14/2017,1230.75
2/15/2017,1224.40
2/16/2017,1240.55
2/17/2017,1241.95
2/20/2017,1237.30
2/21/2017,1233.20
2/22/2017,1236.65
2/23/2017,1247.90
2/24/2017,1253.65
2/27/2017,1257.20
2/28/2017,1255.60
3/1/2017,1240.40
3/2/2017,1238.10
3/3/2017,1226.50
3/6/2017,1230.95
3/7/2017,1216.65
3/8/2017,1209.20
3/9/2017,1206.55
3/10/2017,1202.65
3/13/2017,1204.20
3/14/2017,1204.60
3/15/2017,1198.80
3/16/2017,1229.35
3/17/2017,1229.60
3/20/2017,1232.40
3/21/2017,1241.60
3/22/2017,1249.05
3/23/2017,1247.50
3/24/2017,1247.50
3/27/2017,1257.55
3/28/2017,1257.25
3/29/2017,1251.10
3/30/2017,1248.80
3/31/2017,1244.85
4/3/2017,1247.25
4/4/2017,1257.65
4/5/2017,1245.80
4/6/2017,1252.50
4/7/2017,1266.45
4/10/2017,1250.05
4/11/2017,1252.90
4/12/2017,1274.30
4/13/2017,1284.15
4/14/2017,1284.15
4/17/2017,1284.15
4/18/2017,1278.95
4/19/2017,1279.05
4/20/2017,1282.10
4/21/2017,1281.85
4/24/2017,1269.40
4/25/2017,1267.80
4/26/2017,1261.85
4/27/2017,1262.80
4/28/2017,1266.45
5/1/2017,1266.45
5/2/2017,1255.45
5/3/2017,1250.30
5/4/2017,1228.45
5/5/2017,1228.05
5/8/2017,1229.80
5/9/2017,1220.40
5/10/2017,1222.95
5/11/2017,1223.15
5/12/2017,1231.25
5/15/2017,1233.30
5/16/2017,1234.20
5/17/2017,1257.40
5/18/2017,1255.90
5/19/2017,1252.00
5/22/2017,1258.85
5/23/2017,1260.20
5/24/2017,1252.55
5/25/2017,1256.95
5/26/2017,1265.05
5/29/2017,1265.05
5/30/2017,1262.70
5/31/2017,1266.20
6/1/2017,1264.85
6/2/2017,1274.95
6/5/2017,1279.95
6/6/2017,1293.50
6/7/2017,1291.00
6/8/2017,1273.10
6/9/2017,1266.55
6/12/2017,1266.40
6/13/2017,1262.00
6/14/2017,1275.50
6/15/2017,1254.55
6/16/2017,1255.40
6/19/2017,1248.15
6/20/2017,1242.20
6/21/2017,1242.50
6/22/2017,1250.80
6/23/2017,1255.70
6/26/2017,1245.25
6/27/2017,1249.55
6/28/2017,1248.00
6/29/2017,1243.50
6/30/2017,1242.25
7/3/2017,1229.25
7/4/2017,1223.75
7/5/2017,1220.30
7/6/2017,1224.90
7/7/2017,1215.65
7/10/2017,1211.90
7/11/2017,1211.05
7/12/2017,1218.80
7/13/2017,1218.90
7/14/2017,1230.30
7/17/2017,1234.10
7/18/2017,1240.75
7/19/2017,1242.15
7/20/2017,1238.70
7/21/2017,1248.55
7/24/2017,1255.55
7/25/2017,1254.40
7/26/2017,1248.10
7/27/2017,1261.10
7/28/2017,1264.90
7/31/2017,1267.55
8/1/2017,1270.95
8/2/2017,1269.60
8/3/2017,1268.10
8/4/2017,1257.70
8/7/2017,1258.00
8/8/2017,1261.80
8/9/2017,1271.05
8/10/2017,1284.40
8/11/2017,1286.10
8/14/2017,1282.30
8/15/2017,1270.30
8/16/2017,1272.75
8/17/2017,1285.15
8/18/2017,1295.80
8/21/2017,1292.90
8/22/2017,1284.20
8/23/2017,1286.65
8/24/2017,1289.00
8/25/2017,1285.30
8/28/2017,1285.30
8/29/2017,1318.65
8/30/2017,1308.50
8/31/2017,1311.75
9/1/2017,1320.40
9/4/2017,1333.10
9/5/2017,1335.55
9/6/2017,1337.85
9/7/2017,1343.50
9/8/2017,1346.25
9/11/2017,1334.20
9/12/2017,1326.50
9/13/2017,1327.55
9/14/2017,1324.55
9/15/2017,1322.85
9/18/2017,1312.10
9/19/2017,1309.60
9/20/2017,1311.30
9/21/2017,1292.10
9/22/2017,1294.80
9/25/2017,1293.30
9/26/2017,1300.05
9/27/2017,1282.55
9/28/2017,1283.35
9/29/2017,1283.10
10/2/2017,1273.70
10/3/2017,1271.25
10/4/2017,1274.25
10/5/2017,1274.50
10/6/2017,1261.80
10/9/2017,1278.75
10/10/2017,1291.40
10/11/2017,1289.25
10/12/2017,1290.25
10/13/2017,1299.60
10/16/2017,1303.30
10/17/2017,1284.75
10/18/2017,1280.20
10/19/2017,1286.40
10/20/2017,1281.20
10/23/2017,1274.90
10/24/2017,1276.45
10/25/2017,1275.00
10/26/2017,1273.75
10/27/2017,1266.45
10/30/2017,1272.00
10/31/2017,1270.15
11/1/2017,1277.05
11/2/2017,1279.20
11/3/2017,1267.20
11/6/2017,1270.90
11/7/2017,1275.60
11/8/2017,1284.00
11/9/2017,1284.80
11/10/2017,1284.30
11/13/2017,1277.95
11/14/2017,1274.60
11/15/2017,1282.20
11/16/2017,1280.00
11/17/2017,1284.35
11/20/2017,1286.20
11/21/2017,1283.30
11/22/2017,1286.95
11/23/2017,1290.35
11/24/2017,1290.50
11/27/2017,1294.90
11/28/2017,1291.85
11/29/2017,1283.85
11/30/2017,1280.20
12/1/2017,1275.50
12/4/2017,1273.45
12/5/2017,1266.30
12/6/2017,1263.70
12/7/2017,1255.00
12/8/2017,1250.65
12/11/2017,1247.15
12/12/2017,1240.90
12/13/2017,1242.65
12/14/2017,1251.00
12/15/2017,1254.60
12/18/2017,1260.60
12/19/2017,1260.35
12/20/2017,1264.55
12/21/2017,1264.55
12/22/2017,1264.55
12/25/2017,1264.55
12/26/2017,1264.55
12/27/2017,1279.40
12/28/2017,1291.00
12/29/2017,1291.00
1/1/2018,1291.00
1/2/2018,1312.05
1/3/2018,1314.90
1/4/2018,1314.50
1/5/2018,1317.15
1/8/2018,1319.95
1/9/2018,1311.00
1/10/2018,1319.75
1/11/2018,1323.05
1/12/2018,1326.80
1/15/2018,1339.25
1/16/2018,1333.85
1/17/2018,1335.65
1/18/2018,1332.20
1/19/2018,1334.95
1/22/2018,1332.60
1/23/2018,1333.40
1/24/2018,1353.70
1/25/2018,1354.95
1/26/2018,1353.15
1/29/2018,1343.85
1/30/2018,1344.90
1/31/2018,1345.05
2/1/2018,1341.35
2/2/2018,1331.15
2/5/2018,1333.60
2/6/2018,1331.40
2/7/2018,1324.65
2/8/2018,1315.45
2/9/2018,1314.10
2/12/2018,1322.30
2/13/2018,1325.35
2/14/2018,1336.25
2/15/2018,1352.45
2/16/2018,1352.10
2/19/2018,1346.60
2/20/2018,1339.85
2/21/2018,1330.50
2/22/2018,1328.35
2/23/2018,1327.95
2/26/2018,1333.50
2/27/2018,1325.75
2/28/2018,1317.85
3/1/2018,1307.75
3/2/2018,1322.30
3/5/2018,1320.40
3/6/2018,1331.40
3/7/2018,1329.40
3/8/2018,1321.00
3/9/2018,1320.60
3/12/2018,1319.15
3/13/2018,1322.75
3/14/2018,1323.55
3/15/2018,1318.75
3/16/2018,1310.10
3/19/2018,1312.40
3/20/2018,1311.00
3/21/2018,1321.35
3/22/2018,1329.15
3/23/2018,1346.60
